ESTAR: Stopping Powers and Range Tables for Electrons

BERYLLIUM                                                                  

Kinetic   Total     D. Effect 
Energy    Stp. Pow. Parameter 
MeV       MeV cm2/g           

1.000E-02 1.863E+01 5.100E-04 
1.250E-02 1.564E+01 7.492E-04 
1.500E-02 1.356E+01 1.031E-03 
1.750E-02 1.202E+01 1.354E-03 
2.000E-02 1.084E+01 1.718E-03 
2.500E-02 9.115E+00 2.564E-03 
3.000E-02 7.925E+00 3.560E-03 
3.500E-02 7.049E+00 4.701E-03 
4.000E-02 6.376E+00 5.978E-03 
4.500E-02 5.843E+00 7.387E-03 
5.000E-02 5.409E+00 8.920E-03 
5.500E-02 5.049E+00 1.057E-02 
6.000E-02 4.744E+00 1.234E-02 
7.000E-02 4.259E+00 1.619E-02 
8.000E-02 3.889E+00 2.043E-02 
9.000E-02 3.596E+00 2.504E-02 
1.000E-01 3.360E+00 2.997E-02 
1.250E-01 2.928E+00 4.354E-02 
1.500E-01 2.636E+00 5.858E-02 
1.750E-01 2.426E+00 7.478E-02 
2.000E-01 2.269E+00 9.188E-02 
2.500E-01 2.049E+00 1.280E-01 
3.000E-01 1.904E+00 1.658E-01 
3.500E-01 1.803E+00 2.043E-01 
4.000E-01 1.729E+00 2.432E-01 
4.500E-01 1.673E+00 2.819E-01 
5.000E-01 1.631E+00 3.204E-01 
5.500E-01 1.597E+00 3.583E-01 
6.000E-01 1.571E+00 3.956E-01 
7.000E-01 1.532E+00 4.682E-01 
8.000E-01 1.506E+00 5.379E-01 
9.000E-01 1.489E+00 6.047E-01 
1.000E+00 1.477E+00 6.687E-01 
1.250E+00 1.463E+00 8.178E-01 
1.500E+00 1.460E+00 9.534E-01 
1.750E+00 1.463E+00 1.078E+00 
2.000E+00 1.469E+00 1.194E+00 
2.500E+00 1.484E+00 1.405E+00 
3.000E+00 1.500E+00 1.596E+00 
3.500E+00 1.516E+00 1.772E+00 
4.000E+00 1.531E+00 1.936E+00 
4.500E+00 1.545E+00 2.090E+00 
5.000E+00 1.559E+00 2.235E+00 
5.500E+00 1.572E+00 2.372E+00 
6.000E+00 1.584E+00 2.502E+00 
7.000E+00 1.607E+00 2.743E+00 
8.000E+00 1.628E+00 2.962E+00 
9.000E+00 1.649E+00 3.161E+00 
1.000E+01 1.669E+00 3.344E+00 
1.250E+01 1.715E+00 3.743E+00 
1.500E+01 1.759E+00 4.079E+00 
1.750E+01 1.801E+00 4.368E+00 
2.000E+01 1.842E+00 4.622E+00 
2.500E+01 1.923E+00 5.051E+00 
3.000E+01 2.002E+00 5.404E+00 
3.500E+01 2.079E+00 5.705E+00 
4.000E+01 2.156E+00 5.967E+00 
4.500E+01 2.232E+00 6.198E+00 
5.000E+01 2.308E+00 6.406E+00 
5.500E+01 2.384E+00 6.594E+00 
6.000E+01 2.460E+00 6.766E+00 
7.000E+01 2.610E+00 7.071E+00 
8.000E+01 2.761E+00 7.336E+00 
9.000E+01 2.911E+00 7.570E+00 
1.000E+02 3.061E+00 7.780E+00 
1.250E+02 3.436E+00 8.223E+00 
1.500E+02 3.811E+00 8.587E+00 
1.750E+02 4.186E+00 8.894E+00 
2.000E+02 4.561E+00 9.160E+00 
2.500E+02 5.314E+00 9.605E+00 
3.000E+02 6.067E+00 9.969E+00 
3.500E+02 6.821E+00 1.028E+01 
4.000E+02 7.576E+00 1.054E+01 
4.500E+02 8.332E+00 1.078E+01 
5.000E+02 9.088E+00 1.099E+01 
5.500E+02 9.845E+00 1.118E+01 
6.000E+02 1.060E+01 1.135E+01 
7.000E+02 1.212E+01 1.166E+01 
8.000E+02 1.364E+01 1.193E+01 
9.000E+02 1.515E+01 1.216E+01 
1.000E+03 1.667E+01 1.237E+01 
